Terminal log file
Date: 30.11.2021 - 11:00:59
-----------------------------------------------
Hindenburg 2;42568;82;99044.54;-1.51;0.86;0.00;-0.46;8.03;-6.95;-6.09;-29.24;-21.44;-735.75;4.11,
Hindenburg 2;43073;83;99047.25;-1.46;0.82;-0.04;-0.59;-1.30;4.18;-4.89;-27.74;-6.15;-734.25;4.11,
Hindenburg 2;43578;84;99045.79;-1.46;0.88;0.06;-0.45;-1.48;6.26;-7.98;-98.81;63.42;-826.01;4.11,
Hindenburg 2;44084;85;99045.11;-1.51;0.89;0.04;-0.44;-2.23;7.13;-3.19;-19.34;7.95;-797.83;4.11,
Hindenburg 2;44589;86;99045.43;-1.55;0.91;-0.01;-0.49;-5.56;-0.55;11.05;-23.24;-10.95;-795.13;4.11,
Hindenburg 2;45095;87;99046.36;-1.55;0.82;-0.04;-0.58;-21.45;-4.18;6.96;-11.85;-7.65;-788.23;4.11,
Hindenburg 2;45600;88;99044.90;-1.64;0.90;0.01;-0.44;5.18;-1.13;-12.26;-17.09;-7.50;-788.38;4.11,
Hindenburg 2;46106;89;99043.29;-1.64;0.95;-0.05;-0.38;-3.51;2.92;6.67;-8.70;-11.10;-739.80;4.11,
Hindenburg 2;46611;90;99049.16;-1.69;0.91;-0.07;-0.39;3.50;6.63;3.98;-11.55;-23.84;-732.45;4.11,
Hindenburg 2;47117;91;99046.12;-1.69;0.91;-0.05;-0.39;12.14;6.26;-4.69;-16.64;-17.84;-722.56;4.11,
Hindenburg 2;47622;92;99040.77;-1.69;0.91;-0.04;-0.41;12.31;-0.82;-3.89;-14.69;-14.09;-711.91;4.11,
Hindenburg 2;48128;93;99047.82;-1.69;0.94;-0.08;-0.38;-17.40;9.98;28.79;-14.39;-29.99;-723.91;4.11,
Hindenburg 2;48633;94;99044.38;-1.69;0.93;-0.13;-0.34;-9.98;1.83;16.73;-15.89;-54.28;-738.00;4.11,
Hindenburg 2;49138;95;99044.98;-1.74;0.93;-0.12;-0.31;2.32;1.44;5.27;-15.44;-55.03;-741.15;4.11,
Hindenburg 2;49644;96;99046.12;-1.74;0.93;-0.15;-0.34;-12.60;-10.00;7.86;-12.89;-45.88;-750.29;4.11,
Hindenburg 2;50149;97;99050.66;-1.74;0.93;-0.09;-0.38;4.24;2.40;-9.37;-18.29;-32.39;-761.09;4.11,
Hindenburg 2;50655;98;99047.54;-1.74;0.93;-0.11;-0.37;2.96;3.30;7.27;-20.39;-41.38;-766.79;4.11,
Hindenburg 2;51160;99;99048.22;-1.74;0.93;-0.05;-0.37;-11.76;-4.58;4.87;-18.44;-33.44;-762.74;4.11,
Hindenburg 2;51666;100;99049.64;-1.78;0.82;-0.20;-0.56;-7.69;10.37;18.82;-16.19;-60.88;-758.69;4.11,
Hindenburg 2;52171;101;99047.86;-1.78;0.92;-0.52;-0.32;6.18;60.26;52.61;40.33;-84.42;-799.02;4.11,
Hindenburg 2;52677;102;99050.54;-1.78;0.88;-0.46;-0.15;2.95;-4.38;-25.73;45.88;-101.06;-824.66;4.11,
Hindenburg 2;53182;103;99046.36;-1.78;0.87;-0.44;-0.16;-1.57;-0.05;-4.99;47.98;-110.65;-815.97;4.11,
Hindenburg 2;53688;104;99046.81;-1.78;0.89;-0.44;-0.14;-10.56;4.17;3.18;39.43;-107.81;-807.42;4.11,
Hindenburg 2;54193;105;99045.18;-1.83;0.90;-0.45;-0.15;4.79;-1.24;-5.39;44.53;-109.61;-803.52;4.11,
Hindenburg 2;54699;106;99042.91;-1.83;0.89;-0.43;-0.15;-0.37;2.41;-3.59;45.73;-110.80;-802.02;4.11,
Hindenburg 2;55204;107;99048.54;-1.83;0.54;-1.33;-0.77;-8.52;-30.46;136.32;137.34;-69.87;-841.46;4.11,
Hindenburg 2;55709;108;99045.95;-1.83;0.64;-1.09;-0.19;1.83;223.31;174.89;72.42;241.85;-560.92;4.11,
Hindenburg 2;56215;109;99045.99;-1.88;0.43;-0.88;0.32;0.26;10.27;3.98;37.63;53.53;-458.06;4.11,
Hindenburg 2;56720;110;99047.57;-1.88;0.51;-0.86;0.38;40.32;-34.20;0.20;36.44;52.63;-456.56;4.11,
Hindenburg 2;57226;111;99048.83;-1.83;0.38;-0.99;0.37;-3.07;26.50;24.90;34.79;51.28;-453.12;4.11,
Hindenburg 2;57731;112;99047.82;-1.83;0.25;-0.83;0.39;-25.08;-1.44;45.74;39.88;59.38;-456.11;4.11,
Hindenburg 2;58237;113;99043.28;-1.88;0.11;-0.95;0.31;-8.70;8.79;15.34;41.98;61.47;-459.41;4.11,
Hindenburg 2;58742;114;99046.68;-1.88;0.08;-1.01;0.34;1.56;11.56;10.15;41.83;61.62;-459.56;4.11,
Hindenburg 2;59248;115;99045.54;-1.83;0.10;-0.97;0.41;5.07;-7.15;4.98;41.38;62.67;-458.81;4.11,
Hindenburg 2;59753;116;99046.19;-1.78;0.10;-0.98;0.36;5.07;-1.63;4.58;41.38;62.97;-460.91;4.11,
Hindenburg 2;60259;117;99043.75;-1.83;0.18;-0.95;0.33;-13.07;-13.05;16.23;42.88;64.47;-460.91;4.11,
Hindenburg 2;60764;118;99045.38;-1.78;0.04;-0.89;0.36;38.18;-12.85;-21.53;40.63;62.82;-457.76;4.11,
Hindenburg 2;61269;119;99038.57;-1.69;0.20;-0.93;0.46;-0.11;-4.38;-8.08;37.63;58.33;-454.76;4.11,
Hindenburg 2;61775;120;99044.08;-1.69;0.19;-0.88;0.42;-14.02;28.08;12.44;37.33;55.63;-455.06;4.11,
Hindenburg 2;62280;121;99045.02;-1.64;-0.03;-0.93;0.23;-33.77;62.63;47.53;42.88;67.77;-458.81;4.11,
Hindenburg 2;62786;122;99046.02;-1.64;-0.02;-0.98;0.21;-11.39;77.68;-8.38;44.23;68.82;-469.76;4.11,
Hindenburg 2;63291;123;99041.48;-1.69;0.12;-1.08;0.18;40.95;-107.71;-74.35;43.78;68.97;-466.01;4.11,
Hindenburg 2;63797;124;99043.43;-1.64;-0.10;-1.09;0.21;47.80;-47.98;-63.89;44.83;71.82;-470.96;4.11,
Hindenburg 2;64302;125;99041.32;-1.64;-0.04;-0.76;0.22;-71.53;130.72;77.13;33.14;85.02;-453.87;4.11,
Hindenburg 2;64808;126;99045.18;-1.64;-0.01;-0.80;0.15;77.40;67.74;51.02;43.03;51.73;-475.46;4.11,
Hindenburg 2;65313;127;99046.15;-1.60;-0.09;-0.72;0.71;-31.01;3.28;-0.90;32.69;69.57;-448.92;4.11,
Hindenburg 2;283;128;99048.30;-1.33;0.08;-0.75;0.80;-49.89;3.08;45.53;32.69;62.67;-449.52;4.10,
Hindenburg 2;788;129;99048.25;-1.60;-0.26;-1.83;2.00;-250.14;22.47;-101.25;42.58;62.67;-465.41;4.11,
Hindenburg 2;1293;130;99048.58;-1.64;-0.07;-1.00;0.15;28.11;28.67;35.57;43.78;67.77;-467.51;4.11,
Hindenburg 2;1799;131;99048.86;-1.60;0.73;-1.01;0.12;-114.52;108.58;-189.56;38.98;42.28;-481.60;4.11,
Hindenburg 2;2304;132;99052.48;-1.64;0.82;-0.47;0.13;-1.13;-1.15;16.93;10.05;25.64;-471.86;4.11,
Hindenburg 2;2810;133;99047.98;-1.60;0.56;-0.67;0.56;-24.81;-81.83;9.16;23.24;42.13;-453.87;4.11,
Hindenburg 2;3315;134;99052.31;-1.60;0.69;-0.43;0.73;-3.62;20.11;6.08;22.79;50.98;-447.42;4.11,
Hindenburg 2;3821;135;99055.18;-1.64;0.40;-0.71;0.59;4.70;3.79;-2.79;23.69;54.58;-447.12;4.11,
Hindenburg 2;4326;136;99054.54;-1.64;0.37;-0.63;0.76;-3.71;4.85;-3.19;22.64;54.43;-447.27;4.11,
Hindenburg 2;4832;137;99053.08;-1.69;0.37;-0.62;0.76;3.48;-1.63;-5.08;24.14;53.83;-446.67;4.11,
Hindenburg 2;5337;138;99053.36;-1.78;0.37;-0.63;0.76;-0.55;3.50;-5.69;23.39;54.28;-446.22;4.11,
Hindenburg 2;5843;139;99051.62;-1.78;0.37;-0.62;0.77;-2.61;-1.92;-0.41;21.59;55.18;-447.42;4.11,
Hindenburg 2;6348;140;99056.81;-1.83;0.37;-0.62;0.77;0.84;2.52;2.69;22.94;54.13;-447.87;4.11,
Hindenburg 2;6853;141;99055.80;-1.83;0.37;-0.62;0.77;-0.11;4.96;1.19;22.79;53.38;-446.22;4.11,
Hindenburg 2;7359;142;99053.20;-1.88;0.37;-0.62;0.77;1.73;2.31;3.37;22.49;54.88;-447.42;4.11,
Hindenburg 2;7864;143;99052.32;-1.92;0.37;-0.62;0.77;0.63;4.76;2.78;22.04;52.63;-446.07;4.11,
Hindenburg 2;8370;144;99055.20;-1.97;0.37;-0.62;0.77;-2.63;-1.63;4.38;22.64;54.43;-447.87;4.11,
Hindenburg 2;8875;145;99051.18;-1.97;0.37;-0.62;0.77;-1.57;2.41;-2.99;23.69;53.98;-446.22;4.11,
Hindenburg 2;9381;146;99052.97;-2.01;0.37;-0.62;0.77;1.92;3.88;2.38;22.79;53.68;-447.12;4.11,
Hindenburg 2;9886;147;99059.09;-1.97;0.37;-0.62;0.77;-0.75;0.34;2.69;21.89;54.88;-446.22;4.11,
Hindenburg 2;10392;148;99054.26;-2.01;0.36;-0.62;0.77;3.13;-1.92;0.60;22.04;54.13;-446.97;4.11,
Hindenburg 2;10897;149;99052.48;-2.01;0.37;-0.62;0.77;1.37;2.11;-4.89;23.09;53.68;-447.42;4.11,
Hindenburg 2;11403;150;99056.70;-2.01;0.37;-0.62;0.77;-2.05;0.14;-3.69;21.29;53.68;-447.12;4.11,
Hindenburg 2;11908;151;99054.71;-2.01;0.37;-0.63;0.77;2.38;5.16;-0.41;22.64;54.13;-446.97;4.11,
Hindenburg 2;12413;152;99052.48;-1.97;0.37;-0.62;0.77;0.26;2.70;0.89;22.79;54.28;-446.82;4.11,
Hindenburg 2;12919;153;99052.60;-2.01;0.37;-0.62;0.77;0.08;3.39;0.89;23.09;55.18;-447.42;4.11,
Hindenburg 2;13424;154;99055.03;-2.06;0.37;-0.62;0.77;-2.15;1.71;9.76;23.69;53.98;-446.22;4.11,
Hindenburg 2;13930;155;99054.21;-2.01;0.36;-0.62;0.77;0.63;6.14;0.69;23.84;54.13;-445.17;4.11,
Hindenburg 2;14435;156;99055.80;-1.97;0.37;-0.62;0.77;1.54;0.63;0.89;23.39;53.38;-446.22;4.11,
Hindenburg 2;14941;157;99057.43;-2.01;0.37;-0.62;0.76;-3.54;1.91;1.48;22.94;53.23;-446.67;4.11,
Hindenburg 2;15446;158;99050.16;-2.01;0.37;-0.62;0.77;4.15;1.13;4.78;22.49;53.68;-446.52;4.11,
Hindenburg 2;15952;159;99052.73;-2.06;0.37;-0.62;0.77;0.63;0.43;-6.18;22.64;54.43;-447.87;4.11,
Hindenburg 2;16457;160;99049.84;-2.11;0.37;-0.62;0.77;-2.70;-0.46;-0.31;24.29;54.58;-446.82;4.11,
Hindenburg 2;16963;161;99052.07;-2.06;0.37;-0.62;0.77;3.13;3.08;-1.21;21.74;53.23;-447.87;4.11,
Hindenburg 2;17468;162;99050.94;-2.11;0.37;-0.62;0.77;-0.47;3.59;-0.90;23.24;52.63;-446.97;4.11,
Hindenburg 2;17973;163;99053.69;-2.11;0.37;-0.62;0.77;0.08;-1.24;0.89;21.59;54.58;-445.62;4.11,
Hindenburg 2;18479;164;99053.70;-2.11;0.37;-0.62;0.77;-1.79;4.08;4.47;22.94;54.13;-446.97;4.11,
Hindenburg 2;18984;165;99056.13;-2.11;0.37;-0.62;0.76;0.75;0.35;3.98;23.69;53.68;-446.22;4.11,
Hindenburg 2;19490;166;99053.04;-2.11;0.37;-0.62;0.77;0.61;4.37;-2.11;22.64;54.43;-446.37;4.11,
Hindenburg 2;19995;167;99050.12;-2.15;0.37;-0.62;0.77;-3.10;1.30;0.60;23.39;53.08;-447.72;4.11,
Hindenburg 2;20501;168;99053.04;-2.15;0.37;-0.62;0.77;0.34;1.62;3.28;23.09;54.28;-447.72;4.11,
Hindenburg 2;21006;169;99049.96;-2.25;0.37;-0.62;0.77;4.52;4.27;-2.90;23.24;54.43;-446.97;4.11,
Hindenburg 2;21512;170;99051.26;-2.20;0.37;-0.63;0.77;-0.84;-4.29;-5.69;24.14;53.83;-446.67;4.11,
Hindenburg 2;22017;171;99054.99;-2.20;0.37;-0.62;0.77;-2.05;-0.15;0.20;23.39;53.38;-446.82;4.11,
Hindenburg 2;22522;172;99050.29;-2.29;0.37;-0.62;0.77;2.09;2.02;5.77;23.39;53.98;-447.12;4.11,
Hindenburg 2;23028;173;99052.36;-2.29;0.37;-0.62;0.77;-1.88;4.08;1.08;21.74;54.13;-447.27;4.11,
Hindenburg 2;23533;174;99052.23;-2.29;0.36;-0.62;0.77;0.92;6.24;3.28;22.94;53.53;-446.97;4.11,
Hindenburg 2;24039;175;99053.85;-2.34;0.37;-0.62;0.76;1.10;-0.26;5.68;23.54;54.73;-446.97;4.11,
Hindenburg 2;24544;176;99052.68;-2.29;0.37;-0.62;0.77;-1.40;6.24;8.85;22.79;53.98;-445.92;4.11,
Hindenburg 2;25050;177;99048.46;-2.29;0.37;-0.62;0.77;0.35;5.74;3.68;23.24;53.83;-446.67;4.11,
Hindenburg 2;25555;178;99050.73;-2.29;0.37;-0.62;0.77;1.65;3.19;0.89;24.44;53.23;-446.37;4.11,
Hindenburg 2;26061;179;99052.19;-2.29;0.37;-0.62;0.77;-2.23;-1.73;-0.31;22.64;53.83;-445.77;4.11,
Hindenburg 2;26566;180;99046.23;-2.29;0.37;-0.62;0.76;4.23;4.47;-3.19;22.64;54.43;-448.17;4.11,
Hindenburg 2;27072;181;99053.04;-2.25;0.37;-0.62;0.77;0.08;1.02;-8.47;22.79;53.68;-446.22;4.11,
Hindenburg 2;27577;182;99048.99;-2.34;0.37;-0.62;0.77;2.37;-3.02;-6.38;23.99;53.38;-446.52;4.11,
Hindenburg 2;28082;183;99051.26;-2.29;0.37;-0.62;0.77;-0.31;-1.73;-2.31;23.24;54.73;-446.37;4.11,
Hindenburg 2;28588;184;99051.42;-2.34;0.37;-0.62;0.78;-0.38;3.08;0.49;23.24;55.03;-447.57;4.11,
Hindenburg 2;29093;185;99049.31;-2.34;0.37;-0.62;0.77;2.78;4.38;5.37;24.59;53.38;-446.22;4.11,
Hindenburg 2;29599;186;99052.07;-2.34;0.37;-0.62;0.77;-0.20;1.13;-0.90;22.79;53.98;-447.12;4.11,
